tobacco_plant001, Nicotiana tabacum cv. Samsun,  T7 933,   6
tobacco_plant002, Nicotiana tabacum cv. Samsun,  T7 933,  78
tobacco_plant003, Nicotiana tabacum cv. Samsun,  T7 933, 174
tobacco_plant004, Nicotiana tabacum cv. Samsun,  T7 933, 222
tobacco_plant005, Nicotiana tabacum cv. Samsun,  T7 933, 270
tobacco_plant006, Nicotiana tabacum cv. Samsun,  T7 933, 428
tobacco_plant007, Nicotiana tabacum cv. Samsun, T3 1910,   6
tobacco_plant008, Nicotiana tabacum cv. Samsun, T3 1910,  78
tobacco_plant009, Nicotiana tabacum cv. Samsun, T3 1910, 174
tobacco_plant010, Nicotiana tabacum cv. Samsun, T3 1910, 222
tobacco_plant011, Nicotiana tabacum cv. Samsun, T3 1910, 270
tobacco_plant012, Nicotiana tabacum cv. Samsun, T3 1910, 294
tobacco_plant013, Nicotiana tabacum cv. Samsun,  T1 295,   9
tobacco_plant014, Nicotiana tabacum cv. Samsun,  T1 295, 105
tobacco_plant015, Nicotiana tabacum cv. Samsun,  T1 295, 178
tobacco_plant016, Nicotiana tabacum cv. Samsun,  T1 295, 289
tobacco_plant017, Nicotiana tabacum cv. Samsun,  T2 335,   9
tobacco_plant018, Nicotiana tabacum cv. Samsun,  T2 335,  81
tobacco_plant019, Nicotiana tabacum cv. Samsun,  T2 335, 178
tobacco_plant020, Nicotiana tabacum cv. Samsun,  T2 335, 275
tobacco_plant021, Nicotiana tabacum cv. Samsun,  T5 565,  12
tobacco_plant022, Nicotiana tabacum cv. Samsun,  T5 565, 132
tobacco_plant023, Nicotiana tabacum cv. Samsun,  T5 565, 253
tobacco_plant024, Nicotiana tabacum cv. Samsun,  T5 565, 373
tobacco_plant025, Nicotiana tabacum cv. Samsun,  T5 565, 493
tobacco_plant026, Nicotiana tabacum cv. Samsun,  T5 565, 612
tobacco_plant027, Nicotiana tabacum cv. Samsun,  T5 565, 709
tobacco_plant028, Nicotiana tabacum cv. Samsun, T2 1455,   6
tobacco_plant029, Nicotiana tabacum cv. Samsun, T2 1455,  78
tobacco_plant030, Nicotiana tabacum cv. Samsun, T2 1455, 174
tobacco_plant031, Nicotiana tabacum cv. Samsun, T2 1455, 222
tobacco_plant032, Nicotiana tabacum cv. Samsun, T2 1455, 270
tobacco_plant033, Nicotiana tabacum cv. Samsun, T2 1455, 343
tobacco_plant034, Nicotiana tabacum cv. Samsun, T2 1455, 415
tobacco_plant035, Nicotiana tabacum cv. Samsun,  T2 700,   6
tobacco_plant036, Nicotiana tabacum cv. Samsun,  T2 700,  78
tobacco_plant037, Nicotiana tabacum cv. Samsun,  T2 700, 175
tobacco_plant038, Nicotiana tabacum cv. Samsun,  T2 700, 223
tobacco_plant039, Nicotiana tabacum cv. Samsun,  T2 700, 271
tobacco_plant040, Nicotiana tabacum cv. Samsun,  T2 700, 343
tobacco_plant041, Nicotiana tabacum cv. Samsun,  T2 700, 415
tobacco_plant042, Nicotiana tabacum cv. Samsun,  T8 760,   8
tobacco_plant043, Nicotiana tabacum cv. Samsun,  T8 760,  80
tobacco_plant044, Nicotiana tabacum cv. Samsun,  T8 760, 148
tobacco_plant045, Nicotiana tabacum cv. Samsun,  T8 760, 200
tobacco_plant046, Nicotiana tabacum cv. Samsun,  T8 760, 248
tobacco_plant047, Nicotiana tabacum cv. Samsun,  T8 760, 296
tobacco_plant048, Nicotiana tabacum cv. Samsun,  T8 760, 344
tobacco_plant049, Nicotiana tabacum cv. Samsun,  T8 760, 392
tobacco_plant050, Nicotiana tabacum cv. Samsun, T9 1060,   8
tobacco_plant051, Nicotiana tabacum cv. Samsun, T9 1060,  94
tobacco_plant052, Nicotiana tabacum cv. Samsun, T9 1060, 147
tobacco_plant053, Nicotiana tabacum cv. Samsun, T9 1060, 248
tobacco_plant054, Nicotiana tabacum cv. Samsun, T9 1060, 344
tobacco_plant055, Nicotiana tabacum cv. Samsun,  T2 295,  12
tobacco_plant056, Nicotiana tabacum cv. Samsun,  T2 295, 132
tobacco_plant057, Nicotiana tabacum cv. Samsun,  T2 295, 204
tobacco_plant058, Nicotiana tabacum cv. Samsun,  T2 295, 276
tobacco_plant059, Nicotiana tabacum cv. Samsun,  T2 295, 349
tobacco_plant060, Nicotiana tabacum cv. Samsun,  T2 295, 444
tobacco_plant061, Nicotiana tabacum cv. Samsun,  T2 295, 516
tobacco_plant062, Nicotiana tabacum cv. Samsun,  T2 295, 612
